tweets,quote_status,language,favorite_count,retweet_count,time,id,sentiment,neg,neu,pos,compound,processed_text,cleaned_tweets,cleaned_neg,cleaned_neu,cleaned_pos,cleaned_compound,neg.1,neu.1,pos.1,compound.1,neg,neu,pos,compound
RT @RiverdaleRefer1: They way he looks at her. #jeronica #riverdale https://t.co/kmrpIfhwvf,False,en,0,7,2021-03-03 00:27:19,1366908008517619712,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['way', 'looks', 'jeronica', 'riverdale']",way looks jeronica riverdale,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @LaBella_Aria: I love the bickering between Cami and Cole! On screen or off these 2 are great together #jeronica #Riverdale #vughead htt…,False,en,0,2,2021-03-03 00:27:05,1366907947293552642,"Sentiment(polarity=0.7125, subjectivity=0.675)",0.0,0.6890000000000001,0.311,0.8622,"['love', 'bickering', 'cami', 'cole', 'screen', '2', 'great', 'together', 'jeronica', 'riverdale', 'vughead', 'htt']",love bickering cami cole screen 2 great together jeronica riverdale vughead htt,0.0,0.52,0.48,0.8519,0.0,0.52,0.48,0.8519,0.0,0.52,0.48,0.8519
"RT @shereeniha: As much as I like Varchie, I adore the idea of Vughead (or is it Jeronica?) more. And hoping that plot twist will actually…",False,en,0,2,2021-03-03 00:24:29,1366907294412374017,"Sentiment(polarity=0.35, subjectivity=0.35)",0.0,0.696,0.304,0.8473,"['much', 'like', 'varchie', 'adore', 'idea', 'vughead', 'jeronica', 'hoping', 'plot', 'twist', 'actually']",much like varchie adore idea vughead jeronica hoping plot twist actually,0.0,0.473,0.527,0.836,0.0,0.473,0.527,0.836,0.0,0.473,0.527,0.836
@slowburnsftw I was just thinking this! “I’ve known for awhile” or when them hook up comes to light he actually saw something of Bettys or her leave As house while coming home or literally anything like that 🙌🏻 Game for jeronica to be on board the Barchie train,False,en,7,0,2021-03-02 17:16:56,1366799696329646083,"Sentiment(polarity=0.0, subjectivity=0.39999999999999997)",0.024,0.919,0.057,0.3802,"['thinking', 'known', 'awhile', 'hook', 'comes', 'light', 'actually', 'saw', 'something', 'bettys', 'leave', 'house', 'coming', 'home', 'literally', 'anything', 'like', 'game', 'jeronica', 'board', 'barchie', 'train']",thinking known awhile hook comes light actually saw something bettys leave house coming home literally anything like game jeronica board barchie train,0.051,0.8440000000000001,0.105,0.3182,0.051,0.8440000000000001,0.105,0.3182,0.051,0.844,0.105,0.3182
"Jeronica is cursed, I don’t ship anymore https://t.co/WOOMRDOqLA",False,en,3,0,2021-03-02 16:40:12,1366790453044129792,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['jeronica', 'cursed', 'ship', 'anymore']",jeronica cursed ship anymore,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
i’ve been a varchie jeronica and a jarchie and this is like if all that morphed into one single edit,False,en,0,0,2021-03-02 16:38:34,1366790040672739330,"Sentiment(polarity=-0.07142857142857142, subjectivity=0.21428571428571427)",0.0,0.872,0.128,0.3612,"['varchie', 'jeronica', 'jarchie', 'like', 'morphed', 'one', 'single', 'edit']",varchie jeronica jarchie like morphed one single edit,0.0,0.737,0.263,0.3612,0.0,0.737,0.263,0.3612,0.0,0.737,0.263,0.3612
Ohh I realized that post was by a jeronica fanpage 😭,False,en,3,0,2021-03-02 16:18:27,1366784978483372032,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['ohh', 'realized', 'post', 'jeronica', 'fanpage']",ohh realized post jeronica fanpage,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
veronica and jughead future yale classmates? come on jeronica endgame,False,en,1,0,2021-03-02 15:03:38,1366766149954916354,"Sentiment(polarity=0.0, subjectivity=0.125)",0.0,1.0,0.0,0.0,"['veronica', 'jughead', 'future', 'yale', 'classmates', 'come', 'jeronica', 'endgame']",veronica jughead future yale classmates come jeronica endgame,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"@rtalalay omg, Jeronica please😭😭😭 https://t.co/iRqkv4RToZ",False,en,0,0,2021-03-02 14:27:47,1366757130095767556,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['omg', 'jeronica', 'please']",omg jeronica please,0.0,0.465,0.535,0.3182,0.0,0.465,0.535,0.3182,0.0,0.465,0.535,0.3182
RT @veronicacelias: The world if Jeronica gets TWO one on one scenes this season https://t.co/uBYJX5df6p,False,en,0,7,2021-03-02 12:27:58,1366726974991958019,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,1.0,0.0,0.0,"['world', 'jeronica', 'gets', 'two', 'one', 'one', 'scenes', 'season']",world jeronica gets two one one scenes season,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
