tweets,quote_status,language,favorite_count,retweet_count,time,id,rating,processed_text,cleaned_tweets,neg,neu,pos
"Bughead was never meant to be a main couple on the show.” 

Again, yes they literally were. RAS had Bughead in mind before the show even started, but BAs don’t even bother doing their research before saying anything. They always embarrass themselves. https://t.co/u8XIDocU5q",False,en,0,0,2021-03-03 00:56:53,1366915446918828033,"{'neg': 0.126, 'neu': 0.834, 'pos': 0.04, 'compound': -0.6187}","['bughead', 'never', 'meant', 'main', 'couple', 'show', 'yes', 'literally', 'ras', 'bughead', 'mind', 'show', 'even', 'started', 'bas', 'even', 'bother', 'research', 'saying', 'anything', 'always', 'embarrass']","bughead was never meant to be a main couple on the show.” 

again, yes they literally were. ras had bughead in mind before the show even started, but bas don’t even bother doing their research before saying anything. they always embarrass themselves. ",0.00,0.00,1.00
(especially on bughead day) HELP,False,en,0,0,2021-03-03 00:56:50,1366915433287217152,"{'neg': 0.0, 'neu': 0.538, 'pos': 0.462, 'compound': 0.5319}","['especially', 'bughead', 'day', 'help']",(especially on bughead day) help,0.00,0.00,1.00
her little smile after it END OF DISCUSSION BUGHEAD ENDGAME https://t.co/Iol4Gx4Wts,False,en,3,0,2021-03-03 00:54:58,1366914965056192515,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.2975}","['little', 'smile', 'end', 'discussion', 'bughead', 'endgame']",her little smile after it end of discussion bughead endgame ,0.10,0.00,0.90
RT @lovemesometopaz: if you still think bughead was always supposed to be a main couple and take over the show and lili and cole’s relation…,False,en,0,97,2021-03-03 00:54:34,1366914865089101832,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['still', 'think', 'bughead', 'always', 'supposed', 'main', 'couple', 'take', 'show', 'lili', 'cole', 'relation']",rt : if you still think bughead was always supposed to be a main couple and take over the show and lili and cole’s relation…,0.00,0.00,1.00
"RT @BugheadGif: four years ago today, jughead jones climbed through betty cooper's window and kissed her for the first time.

happy #bughea…",False,en,0,74,2021-03-03 00:54:13,1366914777289744384,"{'neg': 0.0, 'neu': 0.76, 'pos': 0.24, 'compound': 0.743}","['four', 'years', 'ago', 'today', 'jughead', 'jones', 'climbed', 'betty', 'cooper', 'window', 'kissed', 'first', 'time', 'happy', 'bughea']","rt : four years ago today, jughead jones climbed through betty cooper's window and kissed her for the first time.

happy bughea…",0.05,0.00,0.95
RT @mitchelsdemhawk: hating on bughead and varchie is not the serve yall think it is,False,en,0,2,2021-03-03 00:45:22,1366912550407983112,"{'neg': 0.191, 'neu': 0.809, 'pos': 0.0, 'compound': -0.5106}","['hating', 'bughead', 'varchie', 'serve', 'yall', 'think']",rt : hating on bughead and varchie is not the serve yall think it is,0.00,0.00,1.00
RT @bugheadaIe: saying bughead was never supposed to be a main couple (especially on bughead day) won’t change 5 seasons of canon and just…,False,en,0,31,2021-03-03 00:43:18,1366912029840318466,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}","['saying', 'bughead', 'never', 'supposed', 'main', 'couple', 'especially', 'bughead', 'day', 'change', '5', 'seasons', 'canon']",rt : saying bughead was never supposed to be a main couple (especially on bughead day) won’t change 5 seasons of canon and just…,0.00,0.00,1.00
"RAS is a huge Bughead, he has taste.",False,en,1,0,2021-03-03 00:42:19,1366911780702875651,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}","['ras', 'huge', 'bughead', 'taste']","ras is a huge bughead, he has taste.",0.00,0.00,1.00
"RT @BugheadUpdates: 4 years ago today, Jughead climbed up to Betty's window and they had their first kiss.

Happy #Bughead day! #Riverdale…",False,en,0,153,2021-03-03 00:41:24,1366911550875926531,"{'neg': 0.0, 'neu': 0.737, 'pos': 0.263, 'compound': 0.7777}","['4', 'years', 'ago', 'today', 'jughead', 'climbed', 'betty', 'window', 'first', 'kiss', 'happy', 'bughead', 'day', 'riverdale']","rt : 4 years ago today, jughead climbed up to betty's window and they had their first kiss.

happy bughead day! riverdale…",0.05,0.00,0.95
"RT @BamSmackPow: On this day we celebrate one of Riverdale’s endgame couples. 🥰

Happy Bughead Day! 😘 https://t.co/WG2Ym8X4Ey",False,en,0,14,2021-03-03 00:38:30,1366910822807658496,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.8268}","['day', 'celebrate', 'one', 'riverdale', 'endgame', 'couples', 'happy', 'bughead', 'day']","rt : on this day we celebrate one of riverdale’s endgame couples. :smiling face with hearts:

happy bughead day! :face blowing a kiss: ",0.11,0.00,0.89
