tweets,quote_status,language,favorite_count,retweet_count,time,id,processed_text,cleaned_tweets,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound,neg,neu,pos,compound
"RT @chonigif: the roles have been reversed 👀
[2x16 - 5x07] #riverdale #choni @VanessaMorgan @madelainepetsch https://t.co/0YiSaS3YUH",False,en,0,55,2021-02-27 05:07:08,1365528872494727173,"['roles', 'reversed', '2x16', '5x07', 'riverdale', 'choni']",roles reversed 2x16 5x07 riverdale choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @BarchieUpdates: Rachel Talalay directed the episode? And I’m getting both Barchie and Choni on march 17??? AAAAAAA https://t.co/eq3rO8F…,False,en,0,30,2021-02-27 04:58:47,1365526773782302722,"['rachel', 'talalay', 'directed', 'episode', 'getting', 'barchie', 'choni', 'march', '17', 'aaaaaaa']",rachel talalay directed episode getting barchie choni march 17 aaaaaaa,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Stop. Shipping. Cheryl. With. Men. She. Is. A. Lesbian. https://t.co/XlVGAywHlm,False,en,5,1,2021-02-27 04:57:21,1365526410257907713,"['stop', 'shipping', 'cheryl', 'men', 'lesbian']",stop shipping cheryl men lesbian,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296,0.196,0.804,0.0,-0.296
RT @chonistyles: CHONI ARE THE MAIN STORYLINE FOR 5X08 https://t.co/BniRoAmhOD,False,en,0,36,2021-02-27 04:55:52,1365526040425205762,"['choni', 'main', 'storyline', '5x08']",choni main storyline 5x08,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @tcpazs: barchie and choni besties,True,en,0,3,2021-02-27 04:40:44,1365522231158333440,"['barchie', 'choni', 'besties']",barchie choni besties,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
I’m gonna build choni a cute city apartment in the sims I think,False,en,0,0,2021-02-27 04:28:20,1365519111401443329,"['gonna', 'build', 'choni', 'cute', 'city', 'apartment', 'sims', 'think']",gonna build choni cute city apartment sims think,0.0,0.769,0.231,0.4588,0.0,0.769,0.231,0.4588,0.0,0.769,0.231,0.4588,0.0,0.769,0.231,0.4588,0.0,0.769,0.231,0.4588
if choni don’t end up together by the end of this season i’ll riot,False,en,1,0,2021-02-27 04:25:35,1365518417755844611,"['choni', 'end', 'together', 'end', 'season', 'riot']",choni end together end season riot,0.217,0.783,0.0,-0.5574,0.217,0.783,0.0,-0.5574,0.217,0.783,0.0,-0.5574,0.217,0.783,0.0,-0.5574,0.217,0.783,0.0,-0.5574
RT @tonistopazz: when riverdale pulls a glee and has choni &amp; kangs have a joint wedding 🤩🤩🤩🤩,False,en,0,3,2021-02-27 04:25:01,1365518276273582080,"['riverdale', 'pulls', 'glee', 'choni', 'amp', 'kangs', 'joint', 'wedding']",riverdale pulls glee choni amp kangs joint wedding,0.0,0.769,0.231,0.6369,0.0,0.769,0.231,0.6369,0.0,0.769,0.231,0.6369,0.0,0.769,0.231,0.6369,0.0,0.769,0.231,0.6369
@choni_wayhaught Didn’t she film ahead?,False,en,0,0,2021-02-27 04:17:36,1365516406645796866,"['film', 'ahead']",film ahead,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
"RT @vancssamorgan: you don’t understand i NEED choni to do this 
https://t.co/TjzauF2KnN",False,en,0,7,2021-02-27 04:16:24,1365516106559971328,"['understand', 'need', 'choni']",understand need choni,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
RT @fran_topaz: I keep saying I want a rain kiss. But if we actually get one? I WON’T KNOW HOW TO ACT. CHONI TWITTER WILL CRASH,False,en,0,7,2021-02-27 04:10:03,1365514510191054851,"['keep', 'saying', 'want', 'rain', 'kiss', 'actually', 'get', 'one', 'know', 'act', 'choni', 'twitter', 'crash']",keep saying want rain kiss actually get one know act choni twitter crash,0.129,0.716,0.155,-0.0857,0.129,0.716,0.155,-0.0857,0.129,0.716,0.155,-0.0857,0.129,0.716,0.155,-0.0857,0.129,0.716,0.155,-0.0857
RT @toniblossoms: A CHONI CENTRIC EPISODE WINNING https://t.co/SFbl2kQCgy,False,en,0,8,2021-02-27 04:08:35,1365514140345798656,"['choni', 'centric', 'episode', 'winning']",choni centric episode winning,0.0,0.592,0.408,0.6289,0.0,0.592,0.408,0.6289,0.0,0.592,0.408,0.6289,0.0,0.592,0.408,0.6289,0.0,0.592,0.408,0.6289
